d_px_0 + 1.0*d_py_1 + 0.014*d_phiz_1 + 0.014*d_phiy_2,5.2500E-01,1.6664E-03,0.32%
d_py_0 - 1.0*d_px_1 - 0.15505*d_phiz_1 - 0.15505*d_phiy_2,3.0314E-01,1.1170E-03,0.37%
d_pz_0 + 1.0*d_pz_1 + 1.0*d_py_2,-2.5799E-02,1.7615E-03,6.83%
d_phix_0,8.2919E-03,1.2445E-03,15.01%
d_phiy_0,-3.3533E-03,1.2472E-03,37.19%
d_phiz_0 + 1.0*d_phiz_1 + 1.0*d_phiy_2,-2.2572E-02,1.7444E-03,7.73%
d_phix_1,-1.8467E-04,1.2440E-03,673.63%
d_phiy_1,-9.3534E-04,1.2440E-03,133.00%
d_px_2 + 0.0165*d_phiy_2,-6.8682E-05,1.2440E-03,1811.27%
d_pz_2 + 0.125*d_phiy_2 - 1.0*d_py_3,3.9687E-05,1.2440E-03,3134.59%
d_phix_2,-1.1890E-02,1.1263E-04,0.95%
d_phiz_2 - 1.0*d_phiy_3,8.2961E-05,1.2440E-03,1499.51%
d_px_3 + 0.0895*d_phiy_3,3.8510E-03,5.3910E-05,1.40%
d_pz_3 + 1.0*d_px_4,-1.0435E-04,1.2440E-03,1192.20%
d_phix_3,-1.1631E-03,9.4201E-05,8.10%
d_phiz_3 + 1.0*d_phix_4,-3.9722E-02,1.2219E-03,3.08%
d_py_4 - 0.027*d_phix_4,1.6258E-03,6.7864E-05,4.17%
d_pz_4 + 0.02*d_phix_4 + 1.0*d_px_5,-2.4080E-03,1.6626E-04,6.90%
d_phiy_4,1.2688E-02,7.5264E-04,5.93%
d_phiz_4 + 1.0*d_phix_5,-1.4565E-02,1.1946E-04,0.82%
d_py_5 + 0.162*d_phix_5,-3.4706E-03,8.4787E-04,24.43%
d_pz_5 - 0.02*d_phix_5 + 1.0*d_px_6,-1.1002E-03,4.1728E-05,3.79%
d_phiy_5,-1.9680E-03,8.7823E-04,44.63%
d_phiz_5 + 1.0*d_phix_6,-1.5318E-02,7.3030E-04,4.77%
d_py_6,-2.5433E-03,1.5148E-04,5.96%
d_pz_6 + 1.0*d_py_7,3.4328E-03,8.4589E-04,24.64%
d_phiy_6,2.1908E-03,1.7530E-04,8.00%
d_phiz_6 + 1.0*d_phiy_7,1.3784E-03,8.7868E-04,63.74%
d_px_7,3.0678E-03,2.5495E-05,0.83%
d_pz_7,5.9869E-03,6.5575E-05,1.10%
d_phix_7,-2.8585E-02,8.8324E-04,3.09%
d_phiz_7,-2.8580E-02,8.8324E-04,3.09%
pEEx_1,-1.7396E-03,2.5212E-05,1.45%
pEEy_1,7.1702E-02,2.1776E-05,0.03%
pEEz_1,1.2240E-01,6.3306E-05,0.05%
pEEx_2,-4.7849E-04,1.7622E-05,3.68%
pEEy_2,-8.5614E-02,2.1639E-05,0.03%
pEEz_2,1.3812E-01,6.2316E-05,0.05%
pEEx_3,2.5111E-03,2.8690E-05,1.14%
pEEy_3,5.3453E-02,2.3093E-05,0.04%
pEEz_3,2.2655E-01,6.2909E-05,0.03%
pEEx_4,4.0472E-04,2.0612E-05,5.09%
pEEy_4,-5.3814E-02,2.3175E-05,0.04%
pEEz_4,2.3034E-01,6.2136E-05,0.03%
